message,intent
"Instead of a sandwich, I want a burger",order_modify
What's your favorite color?,out_of_scope
Can you modify my order to include extra sauce?,order_modify
I'd like to order a salad,order_place
Can you sing a song?,out_of_scope
Can you give me an update on my order?,order_status
What are the components of your mac and cheese?,menu_ingredients
What can I order today?,menu_entire
Is my food on its way?,order_status
I want to remove my order,order_cancel
Can I check the status of my order?,order_status
Please swap my wrap for a bowl,order_modify
Please cancel my order,order_cancel
I need to know your allergy information,menu_dietary
How long until my food is ready?,order_status
Can I check the status of my order?,order_status
Tell me the ingredients of the salad,menu_ingredients
Order me a large iced tea,order_place
What are the nutrition facts for my meal?,order_nutrition
Can you provide the nutrition details for the salad?,menu_nutrition
Please cancel my order,order_cancel
I want to order a spicy chicken sandwich,order_place
What's the calorie count for the breakfast burrito?,menu_nutrition
I want to change my fries to sweet potato fries,order_modify
Can you give me an update on my order?,order_status
How much fat is in the milkshake?,order_nutrition
What can I order today?,menu_entire
Is your menu available online?,menu_entire
What can I order today?,menu_entire
Cancel my order for me,order_cancel
Can I get the calorie information for the fruit cup?,menu_nutrition
Can I update my order to a different size?,order_modify
What's the meaning of life?,out_of_scope
What's the fat content in the cheeseburger?,menu_nutrition
Can I get the nutrition info for the breakfast menu?,menu_nutrition
Can you help me cancel my order?,order_cancel
Can you give me an update on my order?,order_status
What time will my order be ready?,order_status
What is the caloric value of your wrap?,menu_nutrition
Can you tell me a joke?,out_of_scope
I need to cancel my order,order_cancel
I want to browse your menu options,menu_entire
Can I get a list of all menu items?,menu_entire
Are there options for diabetics?,menu_dietary
Can I get a list of all menu items?,menu_entire
What goes into the spicy nuggets?,menu_ingredients
What's included in the side salad?,menu_ingredients
Can you give me an update on my order?,order_status
How many calories are in the fries?,menu_nutrition
What's the meaning of life?,out_of_scope
Are there options for diabetics?,menu_dietary
What's the sodium content of the burger?,order_nutrition
Show me the nutrition information for my order,order_nutrition
Can I cancel my last order?,order_cancel
I need to know your allergy information,menu_dietary
Please provide the complete menu,menu_entire
What time is it?,out_of_scope
What's the meaning of life?,out_of_scope
Are there any allergens in my meal?,order_nutrition
How's the weather today?,out_of_scope
Can you help me cancel my order?,order_cancel
I want a large fries,order_place
I want to cancel the burger I ordered,order_cancel
Can you provide the nutrition details for the salad?,menu_nutrition
What's the meaning of life?,out_of_scope
Can I cancel my last order?,order_cancel
What items do you have available?,menu_entire
Can you list the ingredients for the burger?,menu_ingredients
I want to change my fries to sweet potato fries,order_modify
I'd like to order a salad,order_place
"Could I have a milkshake, please?",order_place
Tell me the ingredients of the salad,menu_ingredients
Show me the nutrition information for my order,order_nutrition
I want to change my fries to sweet potato fries,order_modify
What's the status of my order?,order_status
I want to know what's in the milkshake,menu_ingredients
I want to remove my order,order_cancel
Can I see the menu?,menu_entire
I want to cancel the burger I ordered,order_cancel
Please change my order to a larger size,order_modify
Can you help me cancel my order?,order_cancel
What's the calorie count for the breakfast burrito?,menu_nutrition
I need to change my order to a chicken salad instead,order_modify
I want to switch my drink to lemonade,order_modify
How many calories are in the chicken nuggets?,order_nutrition
How many calories are in the chicken nuggets?,order_nutrition
I want to know what's in the milkshake,menu_ingredients
Can I get the nutrition info for the breakfast menu?,menu_nutrition
How do I cancel my order?,order_cancel
Can you sing a song?,out_of_scope
Are the nutrition facts available online?,menu_nutrition
How do I cancel my order?,order_cancel
I need to know your allergy information,menu_dietary
What's on the menu?,menu_entire
Can I get a chicken sandwich?,order_place
What do you have for people with nut allergies?,menu_dietary
Can you list the ingredients for the burger?,menu_ingredients
I want to know what's in the milkshake,menu_ingredients
"I'd like to cancel my order, please",order_cancel
I want to browse your menu options,menu_entire
How long until my food is ready?,order_status
I need to know your allergy information,menu_dietary
Do you have vegetarian options?,menu_dietary
Can I cancel my last order?,order_cancel
I want to remove my order,order_cancel
How many calories are in the chicken nuggets?,order_nutrition
I need to change my order to a chicken salad instead,order_modify
Please add a drink to my order,order_place
Can I see the menu?,menu_entire
Show me the nutrition information for my order,order_nutrition
What do you have for people with nut allergies?,menu_dietary
"Change my drink to a medium size, please",order_modify
Can I check the status of my order?,order_status
Are there options for diabetics?,menu_dietary
Are the nutrition facts available online?,menu_nutrition
Is my food on its way?,order_status
I need to change my order to a chicken salad instead,order_modify
I need to modify my previous order,order_modify
"Change my drink to a medium size, please",order_modify
I want to cancel the burger I ordered,order_cancel
What items do you have available?,menu_entire
Can you tell me about your vegan menu?,menu_dietary
What's your favorite color?,out_of_scope
Can you tell me when my order will be ready?,order_status
Can you tell me when my order will be ready?,order_status
Show me everything on the menu,menu_entire
Please add a drink to my order,order_place
I want to change my fries to sweet potato fries,order_modify
What's the protein content of the fish sandwich?,menu_nutrition
Can you tell me the calories in my sandwich?,order_nutrition
I want to order a spicy chicken sandwich,order_place
I would like to place an order,order_place
What's the sodium content of the burger?,order_nutrition
What is this?,out_of_scope
Can I check the status of my order?,order_status
I want to remove my order,order_cancel
What's the nutritional breakdown of the side salad?,menu_nutrition
What is the recipe for your secret sauce?,menu_ingredients
Are there any preservatives in the fries?,menu_ingredients
Could you show me the full menu?,menu_entire
What's on the menu?,menu_entire
Please swap my wrap for a bowl,order_modify
How long until my food is ready?,order_status
What's included in the side salad?,menu_ingredients
What ingredients are in the salad?,order_nutrition
Tell me the nutrition facts for the fries,order_nutrition
What's the meaning of life?,out_of_scope
What are the components of your mac and cheese?,menu_ingredients
Can you help me cancel my order?,order_cancel
Can you tell me about your vegan menu?,menu_dietary
Can you tell me the carb content in the chicken wrap?,menu_nutrition
What is the sugar level in your iced tea?,menu_nutrition
"Change my drink to a medium size, please",order_modify
Are there any preservatives in the fries?,menu_ingredients
What gluten-free items do you have?,menu_dietary
What can I order today?,menu_entire
Is your menu available online?,menu_entire
How do I cancel my order?,order_cancel
I want to know what's in the milkshake,menu_ingredients
What's the meaning of life?,out_of_scope
How are you doing?,out_of_scope
Do you have vegetarian options?,menu_dietary
Can you sing a song?,out_of_scope
"Could I have a milkshake, please?",order_place
Cancel my order for me,order_cancel
I need to cancel my order,order_cancel
What ingredients are in the salad?,order_nutrition
Can I cancel my last order?,order_cancel
I want a large fries,order_place
Cancel my order for me,order_cancel
How's the weather today?,out_of_scope
What's the nutritional breakdown of the side salad?,menu_nutrition
I would like to place an order,order_place
"Change my drink to a medium size, please",order_modify
Can you give me the nutrition breakdown for my order?,order_nutrition
Can you tell me about your vegan menu?,menu_dietary
When can I pick up my order?,order_status
"Instead of a sandwich, I want a burger",order_modify
What are the nutrition facts for my meal?,order_nutrition
Do you offer keto-friendly meals?,menu_dietary
I need to know your allergy information,menu_dietary
Can you modify my order to include extra sauce?,order_modify
Is my food on its way?,order_status
I'd like a side of nuggets,order_place
I want to browse your menu options,menu_entire
How many calories are in the fries?,menu_nutrition
What goes into the spicy nuggets?,menu_ingredients
I would like to place an order,order_place
I need to change my order to a chicken salad instead,order_modify
Can I see the menu?,menu_entire
I want to cancel the burger I ordered,order_cancel
Can you give me the nutrition breakdown for my order?,order_nutrition
What do you have for people with nut allergies?,menu_dietary
I would like to place an order,order_place
I want to know what's in the milkshake,menu_ingredients
Do you have vegetarian options?,menu_dietary
I'd like to order a salad,order_place
When can I pick up my order?,order_status
Can you tell me about your vegan menu?,menu_dietary
I need to know your allergy information,menu_dietary
What's included in the side salad?,menu_ingredients
Can you give me the nutrition breakdown for my order?,order_nutrition
Cancel my order for me,order_cancel
I would like to place an order,order_place
How long until my food is ready?,order_status
Can you help me cancel my order?,order_cancel
I want to remove my order,order_cancel
I would like to place an order,order_place
What is the caloric value of your wrap?,menu_nutrition
Could you show me the full menu?,menu_entire
Show me the nutrition information for my order,order_nutrition
Can you provide the nutrition details for the salad?,menu_nutrition
Can you modify my order to include extra sauce?,order_modify
How many calories are in your spicy chicken nuggets?,menu_nutrition
Is my order ready yet?,order_status
What is the caloric value of your wrap?,menu_nutrition
Show me everything on the menu,menu_entire
Can you tell me the calories in my sandwich?,order_nutrition
What are the low-calorie options?,menu_dietary
What time is it?,out_of_scope
What items are sugar-free on your menu?,menu_dietary
Can I get the calorie information for the fruit cup?,menu_nutrition
What ingredients are in the salad?,order_nutrition
Do you offer keto-friendly meals?,menu_dietary
"Instead of a sandwich, I want a burger",order_modify
I would like to place an order,order_place
What time is it?,out_of_scope
I want a large fries,order_place
What items do you have available?,menu_entire
